epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,68.7266,1.73124,0.79391,0.90059,0.80395,0.84622,0.87695,0.33878,1.83073,1.13529,0.93326,0.0012938,0.0012938,0.0012938
109,69.3722,1.71641,0.8125,0.90056,0.7923,0.84773,0.83044,0.30254,1.94063,1.08273,0.94822,0.0012872,0.0012872,0.0012872
110,69.9826,1.70705,0.79521,0.90755,0.67224,0.72222,0.6591,0.18071,2.31657,1.09246,1.02012,0.0012806,0.0012806,0.0012806
111,70.5862,1.65582,0.77047,0.892,0.67531,0.71429,0.66369,0.17163,2.35021,1.10599,1.02846,0.001274,0.001274,0.001274
112,71.1996,1.62989,0.77033,0.88907,0.69142,0.74603,0.70318,0.21444,2.22342,1.101,1.00163,0.0012674,0.0012674,0.0012674
113,71.852,1.65251,0.77888,0.89579,0.67959,0.71429,0.6689,0.19171,2.28034,1.13374,1.01598,0.0012608,0.0012608,0.0012608
114,72.4728,1.68606,0.78927,0.88489,0.70738,0.70987,0.68918,0.20175,2.2075,1.14214,0.99503,0.0012542,0.0012542,0.0012542
115,73.1019,1.65953,0.76801,0.89226,0.77801,0.77885,0.74764,0.20983,2.18045,1.13634,0.98502,0.0012476,0.0012476,0.0012476
116,73.736,1.69524,0.77799,0.89664,0.86533,0.84921,0.84454,0.33469,1.85362,1.08877,0.92448,0.001241,0.001241,0.001241
117,74.3535,1.65316,0.76438,0.89546,0.92354,0.86281,0.89998,0.37799,1.7511,1.07753,0.90942,0.0012344,0.0012344,0.0012344
118,74.9839,1.69597,0.76964,0.90938,0.88856,0.83333,0.83967,0.32239,1.87796,1.06795,0.92947,0.0012278,0.0012278,0.0012278
119,75.6043,1.69874,0.7655,0.8928,0.86236,0.79564,0.80838,0.31051,1.91815,1.05328,0.93927,0.0012212,0.0012212,0.0012212
120,76.2382,1.69875,0.77947,0.90098,0.89641,0.8254,0.88146,0.35612,1.80456,1.07142,0.91779,0.0012146,0.0012146,0.0012146
121,76.863,1.63625,0.76343,0.9019,0.86909,0.84304,0.85469,0.35333,1.82753,1.07893,0.92312,0.001208,0.001208,0.001208
122,77.4687,1.64965,0.76262,0.89305,0.8815,0.88561,0.89976,0.36696,1.82593,1.05072,0.92228,0.0012014,0.0012014,0.0012014
123,78.0744,1.70073,0.77536,0.88606,0.91428,0.93116,0.96254,0.42403,1.69566,1.02664,0.90514,0.0011948,0.0011948,0.0011948
124,78.678,1.7271,0.7866,0.89405,0.93593,0.92753,0.95861,0.45202,1.64833,0.99264,0.90341,0.0011882,0.0011882,0.0011882
125,79.2923,1.71375,0.77371,0.89704,0.93,0.94906,0.96624,0.45329,1.66841,0.94207,0.90606,0.0011816,0.0011816,0.0011816
126,79.9202,1.6579,0.75791,0.88498,0.91634,0.95625,0.9605,0.44919,1.67719,0.92168,0.907,0.001175,0.001175,0.001175
127,80.5428,1.67237,0.76737,0.88491,0.91489,0.96032,0.95064,0.4694,1.65459,0.91978,0.90352,0.0011684,0.0011684,0.0011684
128,81.1709,1.61727,0.74732,0.88654,0.93086,0.96161,0.97955,0.48227,1.65251,0.89432,0.8982,0.0011618,0.0011618,0.0011618
129,81.8315,1.60241,0.74672,0.89499,0.96218,0.96825,0.98226,0.46301,1.6621,0.86839,0.90075,0.0011552,0.0011552,0.0011552
130,82.4689,1.60367,0.72496,0.89608,0.95155,0.93528,0.96583,0.44881,1.64813,0.86081,0.90228,0.0011486,0.0011486,0.0011486
131,83.0803,1.63296,0.72937,0.87869,0.96619,0.92063,0.97348,0.43875,1.70342,0.88362,0.91129,0.001142,0.001142,0.001142
132,83.7135,1.64077,0.74854,0.89235,0.91557,0.95238,0.95368,0.46556,1.68105,0.85905,0.90484,0.0011354,0.0011354,0.0011354
133,84.3547,1.63128,0.74096,0.88849,0.90386,0.96995,0.9739,0.4871,1.6551,0.84787,0.90063,0.0011288,0.0011288,0.0011288
134,84.9994,1.67227,0.76278,0.89978,0.88794,0.96032,0.961,0.46781,1.65446,0.87768,0.89969,0.0011222,0.0011222,0.0011222
135,85.6179,1.61261,0.7572,0.89723,0.92845,0.93651,0.95851,0.47421,1.67229,0.90785,0.90013,0.0011156,0.0011156,0.0011156
136,86.2617,1.62495,0.74074,0.89361,0.92156,0.9127,0.95089,0.46715,1.69404,0.92811,0.90579,0.001109,0.001109,0.001109
137,86.8823,1.65089,0.75108,0.87617,0.92035,0.91702,0.95553,0.47888,1.68637,0.8814,0.90321,0.0011024,0.0011024,0.0011024
138,87.5121,1.66072,0.75694,0.90679,0.92341,0.95238,0.96567,0.44089,1.76027,0.83048,0.91478,0.0010958,0.0010958,0.0010958
139,88.1291,1.66939,0.74189,0.89318,0.92346,0.9576,0.96226,0.45023,1.73539,0.80428,0.91276,0.0010892,0.0010892,0.0010892
140,88.7591,1.70065,0.76821,0.89439,0.94438,0.94329,0.96914,0.47097,1.70114,0.79835,0.9072,0.0010826,0.0010826,0.0010826
141,89.372,1.6328,0.74824,0.89001,0.95529,0.95238,0.97335,0.46876,1.70677,0.81306,0.90901,0.001076,0.001076,0.001076
142,90.0045,1.6145,0.73323,0.88473,0.95992,0.95053,0.97648,0.47767,1.65106,0.78997,0.90534,0.0010694,0.0010694,0.0010694
143,90.5991,1.6499,0.75146,0.88794,0.93613,0.93067,0.95874,0.47098,1.64735,0.79847,0.90369,0.0010628,0.0010628,0.0010628
144,91.1861,1.6214,0.7304,0.88394,0.92254,0.90476,0.95493,0.47377,1.65858,0.80347,0.90501,0.0010562,0.0010562,0.0010562
145,91.8445,1.58572,0.7136,0.88172,0.91908,0.92857,0.95559,0.47798,1.63622,0.7929,0.90558,0.0010496,0.0010496,0.0010496
146,92.4718,1.5974,0.72729,0.89014,0.91578,0.9127,0.95247,0.48414,1.62348,0.81367,0.90741,0.001043,0.001043,0.001043
147,93.0939,1.6003,0.70953,0.88618,0.94457,0.89683,0.95328,0.48493,1.6241,0.80644,0.90421,0.0010364,0.0010364,0.0010364
148,93.7407,1.56187,0.72981,0.89329,0.91458,0.93478,0.9598,0.44352,1.75492,0.82188,0.91805,0.0010298,0.0010298,0.0010298
149,94.3794,1.67302,0.75122,0.89904,0.96186,0.92063,0.96197,0.4573,1.75017,0.81897,0.91915,0.0010232,0.0010232,0.0010232
